5/3/2020,225.21,LSPACE.COM IRVINE CA
5/3/2020,114,LSPACE.COM IRVINE CA
5/3/2020,45.26,LSPACE.COM IRVINE CA
5/3/2020,-2039.83,"TRELLO.COM, ATLASSIAN 844-873-5561 NY"
5/1/2020,-89,HOTJAR SWIEQI MH
5/1/2020,-367.61,CENTURYLINK/SPEEDPAY 800-777-9594 LA
5/1/2020,-572,SMARTSHEET 855-420-2395 WA
4/29/2020,-900,NEXVORTEX 703-579-0200 VA
4/28/2020,-16.95,J2 EFAX SERVICES 323-817-3205 CA
4/27/2020,-95.47,DNH*GODADDY.COM 480-5058855 AZ
4/27/2020,-19.99,DROPBOX*MMYGZQ8K131Y DROPBOX.COM CA
4/26/2020,-39.62,DNH*GODADDY.COM 480-5058855 AZ
4/26/2020,-119.99,"TRELLO.COM, ATLASSIAN 844-873-5561 NY"
4/26/2020,-385.65,MSFT * E0400AT715 800-642-7676 WA
4/24/2020,-600,MSFT * E0400AT2KN 800-642-7676 WA
4/22/2020,-86,ZOHO CORP* ZOHO-MANAGE HTTPSWWW.ZOHOCA
4/20/2020,-39.62,DNH*GODADDY.COM 480-5058855 AZ
4/20/2020,-1999,SLTWTR 805-8455775 CA
4/19/2020,-99.99,CBI*PARALLELS 800-799-9570 IL
4/19/2020,-4.27,"TRELLO.COM, ATLASSIAN 844-873-5561 NY"
4/19/2020,-4283.76,SHOPIFY* 78589364 HTTPSSHOPIFY.IL
4/16/2020,-5,UPLOADFILE* UPLOADFILE LONDON GB
4/16/2020,-216.27,AT&T*BILL PAYMENT 800-331-0500 TX
4/16/2020,-76.29,SHIPSI INC SHIPSI.COM CA
4/12/2020,-86.19,SWEETWATER SOUND 800-222-4700 IN
4/12/2020,-195.51,ADT SECURITY*402567314 WWW.ADT.COM FL
4/10/2020,-4.99,PANDORA*INTERNET RADIO PDORA.COM/BILCA
4/8/2020,-20,"AIR LABS, INC. HTTPSAIR.INC NY"
4/7/2020,-14.84,SMARTSHEET 855-420-2395 WA
4/6/2020,-48,SOFTWARE-PDF.COM 18888469563 MH
4/5/2020,-192,SYNC.COM 8553677962 CD
4/5/2020,-136.1,8X8 INC 888-898-8733 408-654-0850 CA
4/5/2020,-20,SENDSAFELY.COM SENDSAF SENDSAFELY.CODE
